#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2538512	1436	4843	107823	110906	-	-	CSF1R	NOS2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HEP-NOS|INOS|NOS|NOS2A	Positive Genetic	genetic	Han K (2017)	PUBMED:28319085	9606	9606	High Throughput	4.301	-	CRISPR GI screen|Cell Line:K562 (EFO:0002067)|Experimental Setup:Timecourse|GIST: A-phenotypic positive genetic interaction|Library:Drug Target-CDKO CRISPRn library|Significance Threshold: q-value<0.05	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P35228	-	NP_000616	HP:0001507	Growth abnormality	phenotype	-	-	-	Homo sapiens	Homo sapiens
2538523	1436	9132	107823	114580	-	-	CSF1R	KCNQ4	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	DFNA2|DFNA2A|KV7.4	Positive Genetic	genetic	Han K (2017)	PUBMED:28319085	9606	9606	High Throughput	4.819	-	CRISPR GI screen|Cell Line:K562 (EFO:0002067)|Experimental Setup:Timecourse|GIST: A-phenotypic positive genetic interaction|Library:Drug Target-CDKO CRISPRn library|Significance Threshold: q-value<0.05	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P56696	B3KQH8	NP_004691|NP_751895	HP:0001507	Growth abnormality	phenotype	-	-	-	Homo sapiens	Homo sapiens
2565458	25962	1436	117452	107823	MSTP054	-	KIAA1429	CSF1R	fSAP121	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-RNA	physical	Yue Y (2018)	PUBMED:29507755	9606	9606	High Throughput	-	-	The RNA of the 'hit' genes was identified in an RIP-seq (RNA immunoprecipitation sequencing) experiment using the 'bait' protein, VIRMA.	-	BIOGRID	Q69YN4	-	NP_056311|NP_892121	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2572256	1436	79031	107823	122497	-	-	CSF1R	PDCL3	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HTPHLP|PHLP2A|PHLP3|VIAF|VIAF1	Affinity Capture-Western	physical	Srinivasan S (2013)	PUBMED:23792958	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q9H2J4	-	NP_076970	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3118314	5159	1436	111185	107823	-	-	PDGFRB	CSF1R	CD140B|IBGC4|IMF1|JTK12|PDGFR|PDGFR-1|PDGFR1	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	Affinity Capture-MS	physical	Huttlin EL (2021)	PUBMED:33961781	9606	9606	High Throughput	0.965861308	-	BioPlex 3.0 HEK 293T cells CompPASS score = 0.965861308, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).	-	BIOGRID	P09619	Q59F04	NP_002600	P07333	A2VDG3	NP_005202|NP_001275634	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3490496	1436	23291	107823	116887	-	-	CSF1R	FBXW11	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	Affinity Capture-Western	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q9UKB1	B4DH70	NP_387448|NP_036432|NP_001365909|NP_001365908|NP_001365907|NP_001365906|NP_001365905|NP_001365904|NP_001365903|NP_387449	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3490497	1436	2045	107823	108359	-	-	CSF1R	EPHA7	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	EHK-3|EHK3|EK11|HEK11	Affinity Capture-Western	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q15375	-	NP_004431|NP_001363399|NP_001363394|NP_001363395|NP_001275558|NP_001275559	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3490685	1436	2048	107823	108362	-	-	CSF1R	EPHB2	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5	Affinity Capture-Western	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P29323	-	NP_001296121|NP_004433|NP_001296122|NP_059145	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508558	1436	3304	107823	109536	-	DAAP-21F2.7	CSF1R	HSPA1B	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	HSP70-1B|HSP70-2	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	P08107	A8K5I0	NP_005337	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508559	1436	2045	107823	108359	-	-	CSF1R	EPHA7	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	EHK-3|EHK3|EK11|HEK11	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q15375	-	NP_004431|NP_001363399|NP_001363394|NP_001363395|NP_001275558|NP_001275559	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508560	1436	23291	107823	116887	-	-	CSF1R	FBXW11	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	BTRC2|BTRCP2|FBW1B|FBXW1B|Fbw11|Hos	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q9UKB1	B4DH70	NP_387448|NP_036432|NP_001365909|NP_001365908|NP_001365907|NP_001365906|NP_001365905|NP_001365904|NP_001365903|NP_387449	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508561	1436	8945	107823	114457	-	RP11-529I10.2	CSF1R	BTRC	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	BETA-TRCP|FBW1A|FBXW1|FBXW1A|FWD1|bTrCP|bTrCP1|betaTrCP	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q9Y297	B2R8L3|B7Z3H4|Q68DS0	NP_003930|NP_378663|NP_001243785	-	-	-	-	-	-	Homo sapiens	Homo sapiens
3508562	1436	11140	107823	116312	-	-	CSF1R	CDC37	C-FMS|CD115|CSF-1R|CSFR|FIM2|FMS|HDLS|M-CSF-R	P50CDC37	Affinity Capture-MS	physical	Salokas K (2022)	PUBMED:35384245	9606	9606	High Throughput	0.0	-	Affinity Capture-MS was carried out to identify high confidence protein interactors with a BFDR of less than or equal to 0.05 (BFDR score reported)	-	BIOGRID	P07333	A2VDG3	NP_005202|NP_001275634	Q16543	A0A024R7B7	NP_008996	-	-	-	-	-	-	Homo sapiens	Homo sapiens
