#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
2268564	2214	23413	108508	116985	RP11-5K23.1	-	FCGR3A	NCS1	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	FLUP|FREQ	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.80139489	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.80139489, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P62166	A0A024R8B2	NP_001122298|NP_055101	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2269375	2214	2710	108508	108975	RP11-5K23.1	-	FCGR3A	GK	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	GK1|GKD	Affinity Capture-MS	physical	Huttlin EL (2017)	PUBMED:28514442	9606	9606	High Throughput	0.79180536	-	BioPlex 2.0 HEK 293T cells CompPASS score = 0.79180536, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P32189	B4DH54	NP_001121599|NP_001191948|NP_976325|NP_000158	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2532920	2214	3932	108508	110124	RP11-5K23.1	RP4-675E8.4	FCGR3A	LCK	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	IMD22|LSK|YT16|p56lck|pp58lck	Affinity Capture-Western	physical	Cone JC (1993)	PUBMED:8405050	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P06239	-	NP_005347|NP_001317397|NP_001036236	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2549572	5584	2214	111570	108508	-	RP11-5K23.1	PRKCI	FCGR3A	DXS1179E|PKCI|nPKC-iota	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	Biochemical Activity	physical	Li X (2012)	PUBMED:23024279	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P41743	-	NP_002731	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2549573	5578	2214	111564	108508	-	RP11-5K23.1	PRKCA	FCGR3A	AAG6|PKC-alpha|PKCA|PRKACA	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	Biochemical Activity	physical	Li X (2012)	PUBMED:23024279	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	P17252	Q7Z727	NP_002728	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2549574	2214	6275	108508	112183	RP11-5K23.1	-	FCGR3A	S100A4	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	18A2|42A|CAPL|FSP1|MTS1|P9KA|PEL98	Two-hybrid	physical	Li X (2012)	PUBMED:23024279	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P26447	-	NP_002952|NP_062427	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2549575	2214	6275	108508	112183	RP11-5K23.1	-	FCGR3A	S100A4	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	18A2|42A|CAPL|FSP1|MTS1|P9KA|PEL98	Affinity Capture-Western	physical	Li X (2012)	PUBMED:23024279	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P26447	-	NP_002952|NP_062427	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2549576	2214	6275	108508	112183	RP11-5K23.1	-	FCGR3A	S100A4	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	18A2|42A|CAPL|FSP1|MTS1|P9KA|PEL98	Reconstituted Complex	physical	Li X (2012)	PUBMED:23024279	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P26447	-	NP_002952|NP_062427	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2592540	2214	6464	108508	112361	RP11-5K23.1	RP11-307C12.1	FCGR3A	SHC1	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	SHC|SHCA	Affinity Capture-Western	physical	Ravichandran KS (1993)	PUBMED:8235613	9606	9606	Low Throughput	-	-	-	-	BIOGRID	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	P29353	-	NP_001189788|NP_001123512|NP_001123513|NP_892113|NP_003020	-	-	-	-	-	-	Homo sapiens	Homo sapiens
2641766	274	2214	106771	108508	-	RP11-5K23.1	BIN1	FCGR3A	AMPH2|AMPHL|SH3P9	CD16|CD16A|FCG3|FCGR3|FCGRIII|FCR-10|FCRIII|FCRIIIA|IGFR3|IMD20	Affinity Capture-Western	physical	Thomas S (2019)	PUBMED:31211444	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O00499	A0A024RAJ2|A0A024RAE9|Q9BTH3|B7Z6Y2|A0A024RAF6|A0A024RAG8|A0A024RAI6|A0A024RAF1|A0A024RAI5|A0A024RAF0|A0A024RAI4|A0A024RAJ3|A0A024RAG9	NP_004296|NP_647601|NP_647600|NP_001307561|NP_001307569|NP_001307563|NP_001307562|NP_647599|NP_647598|NP_001307570|NP_001307571|NP_647595|NP_647594|NP_647597|NP_647596|NP_647593	P08637	M9MML0	NP_001121068|NP_000560|NP_001121067|NP_001121064|NP_001121065	-	-	-	-	-	-	Homo sapiens	Homo sapiens
